,pincode,state,latitude,longitude
237,411001,Maharashtra,18.5252,73.8841
238,411002,Maharashtra,18.5123,73.8605
239,411003,Maharashtra,18.5664,73.8576
240,411004,Maharashtra,18.5171,73.8365
241,411005,Maharashtra,18.5364,73.849
242,411006,Maharashtra,18.5531,73.8799
243,411007,Maharashtra,18.5549,73.8217
244,411008,Maharashtra,18.5335,73.8063
245,411009,Maharashtra,18.4863,73.8466
246,411011,Maharashtra,18.5217,73.8641
247,411012,Maharashtra,18.5802,73.8293
248,411013,Maharashtra,18.4917,73.924
249,411014,Maharashtra,18.5575,73.9253
250,411015,Maharashtra,18.6025,73.8813
251,411016,Maharashtra,18.5291,73.8289
252,411017,Maharashtra,18.6121,73.7944
253,411018,Maharashtra,18.6379,73.8158
254,411019,Maharashtra,18.652,73.799
255,411020,Maharashtra,18.5583,73.8373
256,411021,Maharashtra,18.5363,73.7688
257,411022,Maharashtra,18.5014,73.9078
258,411023,Maharashtra,18.4355,73.7086
259,411024,Maharashtra,18.4462,73.7816
260,411025,Maharashtra,18.3803,73.7452
261,411026,Maharashtra,18.6256,73.8367
262,411027,Maharashtra,18.5872,73.8047
263,411028,Maharashtra,18.5074,73.928
264,411030,Maharashtra,18.5043,73.8433
265,411031,Maharashtra,18.5916,73.8481
266,411032,Maharashtra,18.5816,73.9208
267,411033,Maharashtra,18.6268,73.7498
268,411034,Maharashtra,18.6015,73.823
269,411035,Maharashtra,18.643,73.7722
270,411036,Maharashtra,18.5257,73.9282
271,411037,Maharashtra,18.4795,73.8691
272,411038,Maharashtra,18.5078,73.8079
273,411039,Maharashtra,18.6272,73.8558
274,411040,Maharashtra,18.4987,73.8887
275,411041,Maharashtra,18.4382,73.8029
276,411042,Maharashtra,18.5035,73.8662
277,411043,Maharashtra,18.4655,73.8432
278,411044,Maharashtra,18.6607,73.76
279,411045,Maharashtra,18.5676,73.767
280,411046,Maharashtra,18.4338,73.8558
281,411047,Maharashtra,18.6021,73.9341
282,411048,Maharashtra,18.4593,73.906
283,411051,Maharashtra,18.4764,73.821
284,411052,Maharashtra,18.4901,73.8212
285,411057,Maharashtra,18.5912,73.7239
286,411058,Maharashtra,18.4885,73.7848
287,411060,Maharashtra,18.4638,73.9124
288,411061,Maharashtra,18.5784,73.8024
289,411062,Maharashtra,18.684,73.7995
290,411067,Maharashtra,18.5606,73.803
291,411068,Maharashtra,18.4585,73.7929
292,412101,Maharashtra,18.6777,73.7281
293,412102,Maharashtra,18.1362,74.2359
294,412103,Maharashtra,18.1123,74.3949
295,412104,Maharashtra,18.3837,74.2136
296,412105,Maharashtra,18.6668,73.9134
297,412106,Maharashtra,18.8575,73.567
298,412107,Maharashtra,18.3592,73.571
299,412108,Maharashtra,18.5192,73.5233
300,412109,Maharashtra,18.735,73.7573
