Pincode,MMI State,latitude,longitude
522265,Andhra Pradesh,16.013,80.8405
522309,Andhra Pradesh,16.0371,80.628
522259,Andhra Pradesh,16.0745,80.6894
522311,Andhra Pradesh,16.0187,80.5718
523186,Andhra Pradesh,15.6673,80.1773
523135,Andhra Pradesh,15.6786,80.2183
523181,Andhra Pradesh,15.7283,80.2251
523185,Andhra Pradesh,15.778,80.2445
523157,Andhra Pradesh,15.7639,80.3336
523166,Andhra Pradesh,15.8551,80.4119
523155,Andhra Pradesh,15.8198,80.3222
523165,Andhra Pradesh,15.7991,80.3576
523190,Andhra Pradesh,15.8961,80.1771
523167,Andhra Pradesh,15.8099,80.1811
523214,Andhra Pradesh,15.7921,80.1195
523261,Andhra Pradesh,15.8631,80.0814
523213,Andhra Pradesh,15.7872,80.0665
523170,Andhra Pradesh,15.8507,80.2649
523168,Andhra Pradesh,15.8949,80.3211
522111,Andhra Pradesh,15.9202,80.54
522324,Andhra Pradesh,16.1729,80.7958
522301,Andhra Pradesh,16.2668,80.7746
523183,Andhra Pradesh,15.631,80.0924
522262,Andhra Pradesh,15.9222,80.7432
522258,Andhra Pradesh,16.0071,80.7449
522268,Andhra Pradesh,15.9878,80.6728
522314,Andhra Pradesh,15.9086,80.6448
522329,Andhra Pradesh,15.9671,80.6024
523169,Andhra Pradesh,15.9686,80.2888
523171,Andhra Pradesh,16.0298,80.2601
522315,Andhra Pradesh,16.641,79.878
522264,Andhra Pradesh,15.8726,80.8345
522211,Andhra Pradesh,16.2213,80.579
522212,Andhra Pradesh,16.1921,80.4942
522318,Andhra Pradesh,16.1564,80.5729
522261,Andhra Pradesh,16.1836,80.6953
523187,Andhra Pradesh,15.7439,80.2946
523184,Andhra Pradesh,15.6999,80.2673
517415,Andhra Pradesh,13.0852,78.6132
517432,Andhra Pradesh,13.1879,78.6474
517429,Andhra Pradesh,13.1399,78.8757
517128,Andhra Pradesh,13.1881,79.0521
517416,Andhra Pradesh,13.2239,78.9091
517422,Andhra Pradesh,13.1104,78.9869
517129,Andhra Pradesh,13.2893,78.9365
517127,Andhra Pradesh,13.2563,79.1295
517419,Andhra Pradesh,13.1592,79.1973
517002,Andhra Pradesh,13.1482,79.107
517001,Andhra Pradesh,13.2196,79.1103
517132,Andhra Pradesh,13.0702,79.118
517004,Andhra Pradesh,13.2317,79.0934
517257,Andhra Pradesh,13.4272,78.796
517167,Andhra Pradesh,13.2927,79.2848
517125,Andhra Pradesh,13.2312,79.2053
517421,Andhra Pradesh,13.1834,79.2992
517126,Andhra Pradesh,13.354,79.1933
517408,Andhra Pradesh,13.1963,78.7577
517403,Andhra Pradesh,13.104,79.1933
517426,Andhra Pradesh,12.7933,78.2936
517425,Andhra Pradesh,12.7282,78.4265
517130,Andhra Pradesh,13.4022,78.9886
517131,Andhra Pradesh,13.2479,79.0277
517124,Andhra Pradesh,13.3549,79.0649
517569,Andhra Pradesh,13.421,79.3648
517582,Andhra Pradesh,13.3606,79.4036
517584,Andhra Pradesh,13.351,79.5367
517592,Andhra Pradesh,13.3319,79.5678
517591,Andhra Pradesh,13.3396,79.6721
517590,Andhra Pradesh,13.3114,79.6087
517586,Andhra Pradesh,13.2606,79.7289
517587,Andhra Pradesh,13.4219,79.7281
517599,Andhra Pradesh,13.2401,79.3774
517414,Andhra Pradesh,13.3282,78.7452
517113,Andhra Pradesh,13.5686,79.0025
517172,Andhra Pradesh,13.5577,79.0989
517112,Andhra Pradesh,13.4938,79.1705
517401,Andhra Pradesh,12.8724,78.548
517424,Andhra Pradesh,12.975,78.5356
517192,Andhra Pradesh,13.6786,79.0424
517423,Andhra Pradesh,12.85,78.3914
517123,Andhra Pradesh,13.5243,78.9183
533342,Andhra Pradesh,16.9322,81.9597
533346,Andhra Pradesh,16.9025,81.9946
533264,Andhra Pradesh,16.8721,81.965
533261,Andhra Pradesh,16.8336,81.9835
